architecture,mlstm,slstm,window,total_seconds,seed,accuracy,balanced_accuracy,cohen_kappa,f1_weighted,auroc_macro_ovr,auroc_weighted_ovr,auroc_macro_ovo,auroc_weighted_ovo,aucpr_macro,aucpr_micro,checkpoint_type
Linear Transformer,False,False,2-2,5,10,0.6769,0.492,0.4378,0.7015,0.8642,0.8777,0.8211,0.8517,0.4537,0.7477,bal_acc
Linear Transformer,False,False,2-2,5,10,0.7014,0.4469,0.444,0.709,0.8714,0.8843,0.82,0.8566,0.4579,0.7575,loss
Linear Transformer,False,False,2-2,5,123,0.718,0.5413,0.5097,0.7411,0.8664,0.8938,0.829,0.8589,0.4848,0.7569,bal_acc
Linear Transformer,False,False,2-2,5,123,0.7483,0.4463,0.5246,0.7608,0.8609,0.9045,0.8023,0.854,0.4817,0.8042,loss
Linear Transformer,False,False,2-2,5,42,0.7098,0.5819,0.4748,0.7305,0.8714,0.8675,0.8386,0.8576,0.478,0.7653,bal_acc
Linear Transformer,False,False,2-2,5,42,0.6938,0.4679,0.4285,0.6983,0.8691,0.8656,0.825,0.8531,0.4926,0.7321,loss
Linear Transformer,False,False,2-2,5,456,0.7074,0.5032,0.4812,0.7278,0.8613,0.8899,0.8239,0.8537,0.4629,0.7688,bal_acc
Linear Transformer,False,False,2-2,5,456,0.6814,0.4971,0.4546,0.7108,0.853,0.8876,0.8122,0.8494,0.475,0.737,loss
Linear Transformer,False,False,2-2,5,999,0.6308,0.4848,0.3814,0.6565,0.8697,0.8664,0.8364,0.8511,0.4583,0.6811,bal_acc
Linear Transformer,False,False,2-2,5,999,0.6833,0.4828,0.4395,0.6989,0.8666,0.883,0.8227,0.8535,0.4829,0.7222,loss
Linear Transformer,False,False,3-3,7,10,0.6888,0.4375,0.4385,0.7079,0.8335,0.88,0.7798,0.8273,0.4036,0.7396,bal_acc
Linear Transformer,False,False,3-3,7,10,0.6699,0.4203,0.4014,0.6839,0.8715,0.8858,0.8206,0.8562,0.4552,0.742,loss
Linear Transformer,False,False,3-3,7,123,0.6841,0.5521,0.4761,0.723,0.8715,0.8918,0.838,0.8632,0.4618,0.7089,bal_acc
Linear Transformer,False,False,3-3,7,123,0.7146,0.4808,0.4601,0.7154,0.8607,0.8714,0.8187,0.8432,0.474,0.7463,loss
Linear Transformer,False,False,3-3,7,42,0.7126,0.4953,0.48,0.7316,0.8714,0.8995,0.8296,0.8637,0.508,0.7886,bal_acc
Linear Transformer,False,False,3-3,7,42,0.6969,0.4558,0.4508,0.709,0.8627,0.8899,0.8168,0.8529,0.4506,0.7546,loss
Linear Transformer,False,False,3-3,7,456,0.7137,0.5262,0.5005,0.739,0.8721,0.8944,0.8425,0.8599,0.4848,0.7675,bal_acc
Linear Transformer,False,False,3-3,7,456,0.7297,0.4578,0.4728,0.7255,0.8397,0.8725,0.7816,0.8296,0.4254,0.7736,loss
Linear Transformer,False,False,3-3,7,999,0.6437,0.4931,0.4278,0.6836,0.8438,0.8816,0.8142,0.8393,0.4685,0.6853,bal_acc
