"Step","slstm_9sec_sl_default_3 - test/epoch_cohen","slstm_9sec_sl_default_3 - test/epoch_cohen__MIN","slstm_9sec_sl_default_3 - test/epoch_cohen__MAX","slstm_7sec_sl_default_3 - test/epoch_cohen","slstm_7sec_sl_default_3 - test/epoch_cohen__MIN","slstm_7sec_sl_default_3 - test/epoch_cohen__MAX","slstm_5sec_sl_default_3 - test/epoch_cohen","slstm_5sec_sl_default_3 - test/epoch_cohen__MIN","slstm_5sec_sl_default_3 - test/epoch_cohen__MAX","slstm_9sec_sl_default_2 - test/epoch_cohen","slstm_9sec_sl_default_2 - test/epoch_cohen__MIN","slstm_9sec_sl_default_2 - test/epoch_cohen__MAX","slstm_7sec_sl_default_2 - test/epoch_cohen","slstm_7sec_sl_default_2 - test/epoch_cohen__MIN","slstm_7sec_sl_default_2 - test/epoch_cohen__MAX","slstm_5sec_sl_default_2 - test/epoch_cohen","slstm_5sec_sl_default_2 - test/epoch_cohen__MIN","slstm_5sec_sl_default_2 - test/epoch_cohen__MAX","mlstm_9sec_sl_default_3 - test/epoch_cohen","mlstm_9sec_sl_default_3 - test/epoch_cohen__MIN","mlstm_9sec_sl_default_3 - test/epoch_cohen__MAX","mlstm_7sec_sl_default_3 - test/epoch_cohen","mlstm_7sec_sl_default_3 - test/epoch_cohen__MIN","mlstm_7sec_sl_default_3 - test/epoch_cohen__MAX","mlstm_5sec_sl_default_3 - test/epoch_cohen","mlstm_5sec_sl_default_3 - test/epoch_cohen__MIN","mlstm_5sec_sl_default_3 - test/epoch_cohen__MAX","mlstm_9sec_sl_default_2 - test/epoch_cohen","mlstm_9sec_sl_default_2 - test/epoch_cohen__MIN","mlstm_9sec_sl_default_2 - test/epoch_cohen__MAX","mlstm_7sec_sl_default_2 - test/epoch_cohen","mlstm_7sec_sl_default_2 - test/epoch_cohen__MIN","mlstm_7sec_sl_default_2 - test/epoch_cohen__MAX","mlstm_5sec_sl_default_2 - test/epoch_cohen","mlstm_5sec_sl_default_2 - test/epoch_cohen__MIN","mlstm_5sec_sl_default_2 - test/epoch_cohen__MAX","m+slstm_9sec_sl_default_3 - test/epoch_cohen","m+slstm_9sec_sl_default_3 - test/epoch_cohen__MIN","m+slstm_9sec_sl_default_3 - test/epoch_cohen__MAX","m+slstm_7sec_sl_default_3 - test/epoch_cohen","m+slstm_7sec_sl_default_3 - test/epoch_cohen__MIN","m+slstm_7sec_sl_default_3 - test/epoch_cohen__MAX","m+slstm_9sec_sl_default_2 - test/epoch_cohen","m+slstm_9sec_sl_default_2 - test/epoch_cohen__MIN","m+slstm_9sec_sl_default_2 - test/epoch_cohen__MAX","m+slstm_7sec_sl_default_2 - test/epoch_cohen","m+slstm_7sec_sl_default_2 - test/epoch_cohen__MIN","m+slstm_7sec_sl_default_2 - test/epoch_cohen__MAX","m+slstm_5sec_sl_default_3 - test/epoch_cohen","m+slstm_5sec_sl_default_3 - test/epoch_cohen__MIN","m+slstm_5sec_sl_default_3 - test/epoch_cohen__MAX","m+slstm_5sec_sl_default_2 - test/epoch_cohen","m+slstm_5sec_sl_default_2 - test/epoch_cohen__MIN","m+slstm_5sec_sl_default_2 - test/epoch_cohen__MAX","biot_9sec_sl_default_3 - test/epoch_cohen","biot_9sec_sl_default_3 - test/epoch_cohen__MIN","biot_9sec_sl_default_3 - test/epoch_cohen__MAX","biot_7sec_sl_default_3 - test/epoch_cohen","biot_7sec_sl_default_3 - test/epoch_cohen__MIN","biot_7sec_sl_default_3 - test/epoch_cohen__MAX","biot_5sec_sl_default_3 - test/epoch_cohen","biot_5sec_sl_default_3 - test/epoch_cohen__MIN","biot_5sec_sl_default_3 - test/epoch_cohen__MAX","biot_9sec_sl_default_2 - test/epoch_cohen","biot_9sec_sl_default_2 - test/epoch_cohen__MIN","biot_9sec_sl_default_2 - test/epoch_cohen__MAX","biot_7sec_sl_default_2 - test/epoch_cohen","biot_7sec_sl_default_2 - test/epoch_cohen__MIN","biot_7sec_sl_default_2 - test/epoch_cohen__MAX","biot_5sec_sl_default_2 - test/epoch_cohen","biot_5sec_sl_default_2 - test/epoch_cohen__MIN","biot_5sec_sl_default_2 - test/epoch_cohen__MAX","m+slstm_9sec_sl_default_1 - test/epoch_cohen","m+slstm_9sec_sl_default_1 - test/epoch_cohen__MIN","m+slstm_9sec_sl_default_1 - test/epoch_cohen__MAX","m+slstm_7sec_sl_default_1 - test/epoch_cohen","m+slstm_7sec_sl_default_1 - test/epoch_cohen__MIN","m+slstm_7sec_sl_default_1 - test/epoch_cohen__MAX","m+slstm_5sec_sl_default_1 - test/epoch_cohen","m+slstm_5sec_sl_default_1 - test/epoch_cohen__MIN","m+slstm_5sec_sl_default_1 - test/epoch_cohen__MAX","biot_9sec_sl_default_1 - test/epoch_cohen","biot_9sec_sl_default_1 - test/epoch_cohen__MIN","biot_9sec_sl_default_1 - test/epoch_cohen__MAX","biot_7sec_sl_default_1 - test/epoch_cohen","biot_7sec_sl_default_1 - test/epoch_cohen__MIN","biot_7sec_sl_default_1 - test/epoch_cohen__MAX","biot_5sec_sl_default_1 - test/epoch_cohen","biot_5sec_sl_default_1 - test/epoch_cohen__MIN","biot_5sec_sl_default_1 - test/epoch_cohen__MAX","slstm_9sec_sl_default_1 - test/epoch_cohen","slstm_9sec_sl_default_1 - test/epoch_cohen__MIN","slstm_9sec_sl_default_1 - test/epoch_cohen__MAX","slstm_7sec_sl_default_1 - test/epoch_cohen","slstm_7sec_sl_default_1 - test/epoch_cohen__MIN","slstm_7sec_sl_default_1 - test/epoch_cohen__MAX","slstm_5sec_sl_default_1 - test/epoch_cohen","slstm_5sec_sl_default_1 - test/epoch_cohen__MIN","slstm_5sec_sl_default_1 - test/epoch_cohen__MAX","mlstm_9sec_sl_default_1 - test/epoch_cohen","mlstm_9sec_sl_default_1 - test/epoch_cohen__MIN","mlstm_9sec_sl_default_1 - test/epoch_cohen__MAX","mlstm_7sec_sl_default_1 - test/epoch_cohen","mlstm_7sec_sl_default_1 - test/epoch_cohen__MIN","mlstm_7sec_sl_default_1 - test/epoch_cohen__MAX","mlstm_5sec_sl_default_1 - test/epoch_cohen","mlstm_5sec_sl_default_1 - test/epoch_cohen__MIN","mlstm_5sec_sl_default_1 - test/epoch_cohen__MAX"
"12","0.39281147718429565","0.39281147718429565","0.39281147718429565","0.45724403858184814","0.45724403858184814","0.45724403858184814","0.5193150043487549","0.5193150043487549","0.5193150043487549","0.4392003118991852","0.4392003118991852","0.4392003118991852","","","","0.3874577581882477","0.3874577581882477","0.3874577581882477","0.39369329810142517","0.39369329810142517","0.39369329810142517","0.38595613837242126","0.38595613837242126","0.38595613837242126","0.4006012976169586","0.4006012976169586","0.4006012976169586","0.4048213064670563","0.4048213064670563","0.4048213064670563","0.4340740740299225","0.4340740740299225","0.4340740740299225","0.36549121141433716","0.36549121141433716","0.36549121141433716","0.4094489514827728","0.4094489514827728","0.4094489514827728","0.4177708327770233","0.4177708327770233","0.4177708327770233","","","","0.5097904801368713","0.5097904801368713","0.5097904801368713","0.4580150246620178","0.4580150246620178","0.4580150246620178","0.3987027406692505","0.3987027406692505","0.3987027406692505","0.3864307999610901","0.3864307999610901","0.3864307999610901","0.47215208411216736","0.47215208411216736","0.47215208411216736","","","","0.5082520842552185","0.5082520842552185","0.5082520842552185","0.41106781363487244","0.41106781363487244","0.41106781363487244","0.5371056199073792","0.5371056199073792","0.5371056199073792","0.4093323051929474","0.4093323051929474","0.4093323051929474","","","","0.4992165267467499","0.4992165267467499","0.4992165267467499","0.4210337996482849","0.4210337996482849","0.4210337996482849","0.4508485794067383","0.4508485794067383","0.4508485794067383","0.5174871683120728","0.5174871683120728","0.5174871683120728","0.42592012882232666","0.42592012882232666","0.42592012882232666","0.46219030022621155","0.46219030022621155","0.46219030022621155","0.452108770608902","0.452108770608902","0.452108770608902","0.39810603857040405","0.39810603857040405","0.39810603857040405","0.40567654371261597","0.40567654371261597","0.40567654371261597","0.4399983584880829","0.4399983584880829","0.4399983584880829"
"13","","","","","","","","","","","","","0.4827001690864563","0.4827001690864563","0.4827001690864563","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37118473649024963","0.37118473649024963","0.37118473649024963","","","","","","","","","","","","","","","","0.5726022124290466","0.5726022124290466","0.5726022124290466","","","","","","","","","","","","","0.5052997469902039","0.5052997469902039","0.5052997469902039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4750605523586273","0.4750605523586273","0.4750605523586273","","","","0.4601927101612091","0.4601927101612091","0.4601927101612091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","0.45714494585990906","0.45714494585990906","0.45714494585990906","0.4412820339202881","0.4412820339202881","0.4412820339202881","0.4658513069152832","0.4658513069152832","0.4658513069152832","0.5807023048400879","0.5807023048400879","0.5807023048400879","","","","0.42190223932266235","0.42190223932266235","0.42190223932266235","0.46154382824897766","0.46154382824897766","0.46154382824897766","0.37303784489631653","0.37303784489631653","0.37303784489631653","0.5287621021270752","0.5287621021270752","0.5287621021270752","0.3640560805797577","0.3640560805797577","0.3640560805797577","0.4372670352458954","0.4372670352458954","0.4372670352458954","0.47537532448768616","0.47537532448768616","0.47537532448768616","0.43782511353492737","0.43782511353492737","0.43782511353492737","0.33865174651145935","0.33865174651145935","0.33865174651145935","","","","","","","0.4385915696620941","0.4385915696620941","0.4385915696620941","","","","0.41706374287605286","0.41706374287605286","0.41706374287605286","0.4031572937965393","0.4031572937965393","0.4031572937965393","","","","0.3982047140598297","0.3982047140598297","0.3982047140598297","0.4301896393299103","0.4301896393299103","0.4301896393299103","0.5186361074447632","0.5186361074447632","0.5186361074447632","0.43322643637657166","0.43322643637657166","0.43322643637657166","","","","0.49477970600128174","0.49477970600128174","0.49477970600128174","0.4247790277004242","0.4247790277004242","0.4247790277004242","0.41544827818870544","0.41544827818870544","0.41544827818870544","0.4397819936275482","0.4397819936275482","0.4397819936275482","0.47352030873298645","0.47352030873298645","0.47352030873298645","0.47649312019348145","0.47649312019348145","0.47649312019348145","0.47261282801628113","0.47261282801628113","0.47261282801628113","0.4575740694999695","0.4575740694999695","0.4575740694999695","0.3824751079082489","0.3824751079082489","0.3824751079082489","0.4147062599658966","0.4147062599658966","0.4147062599658966"
"27","","","","","","","","","","","","","0.43110981583595276","0.43110981583595276","0.43110981583595276","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43105852603912354","0.43105852603912354","0.43105852603912354","","","","","","","","","","","","","","","","0.4152478575706482","0.4152478575706482","0.4152478575706482","","","","","","","","","","","","","0.45952358841896057","0.45952358841896057","0.45952358841896057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3916240930557251","0.3916240930557251","0.3916240930557251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","","","","0.4683813452720642","0.4683813452720642","0.4683813452720642","","","","0.49853914976119995","0.49853914976119995","0.49853914976119995","","","","","","","","","","","","","0.45677974820137024","0.45677974820137024","0.45677974820137024","","","","","","","","","","","","","0.3789614140987396","0.3789614140987396","0.3789614140987396","","","","0.36527523398399353","0.36527523398399353","0.36527523398399353","","","","","","","","","","","","","","","","","","","","","","0.4433742165565491","0.4433742165565491","0.4433742165565491","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","0.40670275688171387","0.40670275688171387","0.40670275688171387","","","","0.4715820848941803","0.4715820848941803","0.4715820848941803","","","","","","","0.44606104493141174","0.44606104493141174","0.44606104493141174","0.4900829792022705","0.4900829792022705","0.4900829792022705","0.4554747939109802","0.4554747939109802","0.4554747939109802","","","","0.34852975606918335","0.34852975606918335","0.34852975606918335","0.4253692924976349","0.4253692924976349","0.4253692924976349","0.4114908277988434","0.4114908277988434","0.4114908277988434","0.4459429979324341","0.4459429979324341","0.4459429979324341","","","","","","","","","","0.5145624876022339","0.5145624876022339","0.5145624876022339","","","","0.4033447504043579","0.4033447504043579","0.4033447504043579","0.47317734360694885","0.47317734360694885","0.47317734360694885","","","","0.3920626938343048","0.3920626938343048","0.3920626938343048","0.40206047892570496","0.40206047892570496","0.40206047892570496","","","","0.4271010458469391","0.4271010458469391","0.4271010458469391","","","","0.4904716908931732","0.4904716908931732","0.4904716908931732","0.4398409426212311","0.4398409426212311","0.4398409426212311","0.48285913467407227","0.48285913467407227","0.48285913467407227","0.525344729423523","0.525344729423523","0.525344729423523","0.5207904577255249","0.5207904577255249","0.5207904577255249","0.5413058400154114","0.5413058400154114","0.5413058400154114","0.5447764992713928","0.5447764992713928","0.5447764992713928","0.5003849267959595","0.5003849267959595","0.5003849267959595","0.3909203112125397","0.3909203112125397","0.3909203112125397","0.5133793950080872","0.5133793950080872","0.5133793950080872"
"41","","","","","","","","","","","","","0.4116692543029785","0.4116692543029785","0.4116692543029785","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3995824158191681","0.3995824158191681","0.3995824158191681","","","","","","","","","","","","","","","","0.4330815374851227","0.4330815374851227","0.4330815374851227","","","","","","","","","","","","","0.4597454369068146","0.4597454369068146","0.4597454369068146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43093281984329224","0.43093281984329224","0.43093281984329224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
